customer_id,first_name,last_name,email,city,signup_date,age,full_name
C10000,Lilit,Petrosyan,customer0@example.com,Vanadzor,2024-10-16,36.0,Lilit Petrosyan
C10001,Nare,Mkrtchyan,customer1@example.com,Gyumri,2023-04-25,60.0,Nare Mkrtchyan
C10002,Eva,Stepanyan,customer2@example.com,Gyumri,2023-01-26,58.0,Eva Stepanyan
C10003,Mane,Martirosyan,customer3@example.com,Hrazdan,2025-01-29,46.0,Mane Martirosyan
C10004,Sona,Petrosyan,customer4@example.com,Etchmiadzin,2023-10-09,23.0,Sona Petrosyan
C10005,Lilit,Grigoryan,customer5@example.com,Abovyan,2023-09-08,42.0,Lilit Grigoryan
C10006,Saro,Sargsyan,customer6@example.com,Artashat,2023-08-17,,Saro Sargsyan
C10007,Mane,Sargsyan,customer7@example.com,Etchmiadzin,2023-05-23,42.0,Mane Sargsyan
C10008,Mane,Manukyan,customer8@example.com,Vanadzor,2025-01-24,33.0,Mane Manukyan
C10009,Arman,Vardanyan,customer9@example.com,Abovyan,2023-04-15,33.0,Arman Vardanyan
C10010,Sona,Grigoryan,customer10@example.com,Artashat,2024-11-23,23.0,Sona Grigoryan
C10011,Anna,Grigoryan,customer11@example.com,Vanadzor,2025-01-28,54.0,Anna Grigoryan
C10012,Mariam,Petrosyan,customer12@example.com,Etchmiadzin,2025-07-02,38.0,Mariam Petrosyan
C10013,Suren,Martirosyan,customer13@example.com,Abovyan,2024-07-12,21.0,Suren Martirosyan
C10014,Hayk,Hovhannisyan,customer14@example.com,Vanadzor,2023-03-31,51.0,Hayk Hovhannisyan
C10015,Mariam,Avetisyan,customer15@example.com,Yerevan,2024-08-27,45.0,Mariam Avetisyan
C10016,Ani,Vardanyan,customer16@example.com,Yerevan,2024-03-08,55.0,Ani Vardanyan
C10017,Suren,Petrosyan,,Dilijan,2023-02-02,58.0,Suren Petrosyan
C10018,Suren,Hakobyan,customer18@example.com,Abovyan,2023-01-31,45.0,Suren Hakobyan
C10019,Lusine,Stepanyan,customer19@example.com,Vanadzor,2023-04-06,34.0,Lusine Stepanyan
C10020,Gor,Sargsyan,customer20@example.com,Artashat,2023-08-12,,Gor Sargsyan
C10021,Mikael,Stepanyan,customer21@example.com,Vanadzor,2023-08-27,24.0,Mikael Stepanyan
C10022,Eva,Sargsyan,customer22@example.com,Gyumri,2024-06-01,39.0,Eva Sargsyan
C10023,Eva,Manukyan,customer23@example.com,Hrazdan,2024-09-08,18.0,Eva Manukyan
C10024,Saro,Hovhannisyan,customer24@example.com,Hrazdan,2023-01-28,46.0,Saro Hovhannisyan
C10025,Suren,Hakobyan,customer25@example.com,Yerevan,2024-07-28,48.0,Suren Hakobyan
C10026,Nare,Sargsyan,customer26@example.com,Gyumri,2023-07-23,47.0,Nare Sargsyan
C10027,Anna,Petrosyan,,Gyumri,2025-01-03,32.0,Anna Petrosyan
C10028,Narek,Hakobyan,customer28@example.com,Yerevan,2024-10-27,35.0,Narek Hakobyan
C10029,Saro,Petrosyan,customer29@example.com,Gyumri,2024-12-19,52.0,Saro Petrosyan
C10030,Lilit,Avetisyan,customer30@example.com,Yerevan,2024-07-12,47.0,Lilit Avetisyan
C10031,David,Avetisyan,customer31@example.com,Yerevan,2024-03-05,51.0,David Avetisyan
C10032,Lilit,Stepanyan,customer32@example.com,Yerevan,2023-08-14,59.0,Lilit Stepanyan
C10033,Karen,Sargsyan,customer33@example.com,Yerevan,2024-04-04,28.0,Karen Sargsyan
C10034,Arman,Sargsyan,customer34@example.com,Vanadzor,2024-08-26,44.0,Arman Sargsyan
C10035,Arsen,Martirosyan,customer35@example.com,Kapan,2023-10-12,41.0,Arsen Martirosyan
C10036,Karen,Avetisyan,customer36@example.com,Hrazdan,2025-04-08,52.0,Karen Avetisyan
