customer_id,first_name,last_name,email,city,signup_date,age
C10000,Lilit.,petrosyan,customer0@example.com,vandz.,2024-10-16,36
C10001,Nare,mkrtchyan,customer1@example.com,"""GYUMRI""",2023-04-25,60
C10002,Eva,Stepanyan,customer2@example.com,gyumri,2023-01-26,58
C10003,"""""Mane""""",Martirosyan,customer3@example.com,Hrazdan,2025-01-29,46
C10004,Sona,PEtRoSyan,customer4@example.com,  EtChmIadzin  ,2023-10-09,23
C10005,Lilit,grigoryan,customer5@example.com,Abovyan,2023-09-08,42
C10006,Saro,SARgSyan,customer6@example.com,Artashat.,2023-08-17,N/A
C10007,Mane,Sargsyan,customer7@example.com,"""Etch.""",2023-05-23,42
C10008,Mane,MANUKYAN,customer8@example.com,VANAdZOR,2025-01-24,33
C10009,Arman,Vardanyan,customer9@example.com,Abovyan,2023-04-15,33
C10010,"Sona,","""""GRIGORYAN""""",customer10@example.com,"Artashat,",2024-11-23,23
C10011,Anna,gRigorYaN,customer11@example.com,vanadzor,2025-01-28,54
C10012,Mariam,Petrosyan,customer12@example.com,Etchmiadzin,2025-07-02,38
C10013,Suren,Martirosyan,customer13@example.com,Abovyan,2024-07-12,21
C10014,Hayk,Hovhannisyan,customer14@example.com,'Vanadzor',2023-03-31,51
C10015,#Mariam,'Avetisyan',customer15@example.com,#YEREVAN,2024-08-27,45
C10016,"Ani,",Vardanyan,customer16@example.com,yerevan city,2024-03-08,55
C10017,Suren,#Petrosyan,,"""""diliJaN""""",2023-02-02,58
C10018,Suren,HAKOBYAN,customer18@example.com,"""Abovyan""",2023-01-31,45
C10019,LUSINE,Stepanyan,customer19@example.com,"vanadzor,",2023-04-06,34
C10020,gOR,SaRgsYAN,customer20@example.com,'artashat',2023-08-12,N/A
C10021,Mikael,Stepanyan,customer21@example.com,Vanadzor.,2023-08-27,24
C10022,eva,'sargSyaN',customer22@example.com,'Gyumri',2024-06-01,39
C10023,'Eva',maNuKyAN,customer23@example.com,Hrazdan,2024-09-08,18
C10024,Saro,Hovhannisyan,customer24@example.com,"""Hrazdan""",2023-01-28,46
C10025,Suren,HAKOBYAN,customer25@example.com,Yev.,2024-07-28,48
C10026,Nare,Sargsyan,customer26@example.com,gYuMRI,2023-07-23,47
C10027,Anna,Petrosyan,,Gym,2025-01-03,32
C10028,"naREk,",HAKOBYAN,customer28@example.com,Yerev.,2024-10-27,35
C10029,  Saro  ,Petrosyan,customer29@example.com,GMR,2024-12-19,52
C10030,LILIT,Avetisyan,customer30@example.com,yer,2024-07-12,47
C10031,"""David""",Avetisyan,customer31@example.com,Yerevan,2024-03-05,51
C10032,Lilit,STEPANYAN,customer32@example.com,  yerevan  ,2023-08-14,59
C10033,Karen,#Sargsyan,customer33@example.com,Yerevan,2024-04-04,28
C10034,Arman,SARGSYAN.,customer34@example.com,VANADZOR,2024-08-26,44
C10035,Arsen,Martirosyan,customer35@example.com,"Kapan,",2023-10-12,41
C10036,Karen,AVETISYAN,customer36@example.com,"Hrazdan,",2025-04-08,52
C10037,  David  ,hovhannisyan,customer37@example.com,Yerevan,2025-06-09,56
C10038,Mariam,'Hovhannisyan',customer38@example.com,Yerevan,2023-01-07,25
C10039,Nare,Mkrtchyan,customer39@example.com,'Yerevan',2025-02-16,35
C10040,Eva,Mkrtchyan,customer40@example.com,Gym,2025-04-05,30
C10041,Lilit,Manukyan,customer41@example.com,Yerevan,2023-06-13,62
C10042,Suren,#Avetisyan,customer42@example.com,#Gyumri,2024-12-15,41
C10043,Sona,#Petrosyan,customer43@example.com,YEREVAN,2024-03-08,40
C10044,Eva.,Petrosyan,customer44@example.com,Kapan,2023-12-15,29
C10045,anna,#Harutyunyan,customer45@example.com,Yer,2023-10-12,47
C10046,Arsen.,"""Hakobyan""",customer46@example.com,yereVAn,2023-06-09,48
C10047,lusine,"""karapetyan""",customer47@example.com,Etchmiadzin,2023-08-09,45
C10048,#Arman,Stepanyan,customer48@example.com,YER,2025-02-20,39
C10049,"Karen,",Mkrtchyan,customer49@example.com,YerEvaN,2023-12-11,61
C10050,Sona,Stepanyan,customer50@example.com,vanadzor.,2023-04-15,45
C10051,Arman,Sargsyan,customer51@example.com,Vanadzor,2023-04-05,30
C10052,MARIAM,"""Manukyan""",customer52@example.com,hrazdan,2024-01-25,42
C10053,Hayk,Hovhannisyan,customer53@example.com,Yev.,2023-04-10,61
C10054,Gor,Karapetyan,customer54@example.com,yerevan city,2024-01-03,63
C10055,ArMan,GRIGORYAN,customer55@example.com,Yerevan,2025-05-17,24
C10056,Karen.,MANukyaN,customer56@example.com,YEREVAN,2023-12-19,62
C10057,sureN,gRiGoRyAn,customer57@example.com,Armavir,2024-09-10,23
C10058,"""Mariam""",Ghazaryan,customer58@example.com,"""""Hrazdan""""",2023-09-28,41
C10059,gor,AvetisYaN,customer59@example.com,'Yer',2025-04-06,36
C10060,arman,Grigoryan,customer60@example.com,Vanadzor.,2023-02-14,36
C10061,arsen,Grigoryan,customer61@example.com,"yev.,",2025-01-17,53
C10062,Mikael,stepanyan,customer62@example.com,ARmAviR,2024-04-15,26
C10063,  eva  ,"Ghazaryan,",customer63@example.com,yer,2024-07-03,65
C10064,Sona,martirosyan,customer64@example.com,yerevan city,2023-05-08,53
C10065,"""""Arsen""""",  Martirosyan  ,customer65@example.com,"""Gyumri""",2025-08-02,55
C10066,Sona,"Martirosyan,",customer66@example.com,"vanadzor,",2024-01-23,57
C10067,Mikael,  Avetisyan  ,customer67@example.com,vaNADzOR,2023-03-22,46
C10068,"""Tatev""",Karapetyan,customer68@example.com,YEREVAN,2024-07-19,41
C10069,Karen,Manukyan,customer69@example.com,#Yerevan,2023-10-28,65
C10070,Eva,Manukyan,customer70@example.com,GMR,2025-04-29,22
C10071,TATEV,"""""vardanyan""""",customer71@example.com,YEREVAN,2024-10-05,59
C10072,david,"Sargsyan,",customer72@example.com,"Armavir,",2024-09-25,62
C10073,EVA,MARTIROSYAN,customer73@example.com,YVN,2025-06-25,43
C10074,'Tatev',Avetisyan,customer74@example.com,Gyumri City,2025-06-01,N/A
C10075,Ani,sARgSYAN,customer75@example.com,Abovyan,2024-01-06,56
C10076,"""Lilit""",Hakobyan,customer76@example.com,Yerev.,2024-08-14,46
C10077,daviD,sARgsyan,customer77@example.com,Vandz.,2023-07-16,23
C10078,Ani,"""Stepanyan""",customer78@example.com,Vagharshapat,2024-12-22,24
C10079,suren,Stepanyan,customer79@example.com,Yerevan,2023-03-13,54
C10080,sona,'Karapetyan',customer80@example.com,armavir,2023-02-16,35
C10081,mANe,Mkrtchyan,customer81@example.com,Vanadzor,2024-11-08,40
C10082,Saro.,Grigoryan,customer82@example.com,YEREVAN,2023-08-22,61
C10083,Lusine,Martirosyan,customer83@example.com,"Yerevan,",2025-03-02,N/A
C10084,"sona,",'Vardanyan',customer84@example.com,  yerevan  ,2023-10-24,18
C10085,  Anna  ,Ghazaryan,customer85@example.com,Hrazdan,2023-03-23,21
C10086,Anna,  Vardanyan  ,customer86@example.com,Etchmiadzin,2025-05-25,61
C10087,ANI,Mkrtchyan,customer87@example.com,Kapan,2023-08-27,64
C10088,Narek.,"""""Hovhannisyan""""",customer88@example.com,dIlIjan,2025-06-06,52
C10089,"Gor,",'SARgsYan',customer89@example.com,ETCHMIADZIN,2023-04-14,40
C10090,Lilit,avetisyan,customer90@example.com,Vanadzor,2024-01-25,44
C10091,'David',grigoryan,customer91@example.com,Yev.,2023-10-12,43
C10092,"lilit,",Manukyan,customer92@example.com,#Gyumri,2024-04-09,25
C10093,David,Petrosyan,customer93@example.com,YEREVAN,2024-10-12,60
C10094,sOna,Grigoryan.,customer94@example.com,Hrazdan,2025-05-04,33
C10095,SUREN,Karapetyan,customer95@example.com,Yer,2024-01-09,58
C10096,MARIAM,#Hovhannisyan,customer96@example.com,Yerevan,2023-06-16,-5
C10097,Ani,Karapetyan,customer97@example.com,"""""YER""""",2024-01-15,49
C10098,Mikael,Stepanyan,customer98@example.com,Yerevan,2023-12-30,22
C10099,  Narek  ,"""""SARGSYAN""""",customer99@example.com,Vandz.,2023-08-03,37
C10100,anna,hAKObYAN.,customer100@example.com,Gyumri,2024-11-17,31
C10101,Suren,'Stepanyan',customer101@example.com,"""VNZ""",2023-10-01,49
C10102,"""Sona""",Karapetyan,customer102@example.com,Gym,2024-12-19,43
C10103,anna,Karapetyan,customer103@example.com,Abovyan,2024-11-30,64
C10104,ANI,AVETISYAN,customer104@example.com,yerev.,2024-10-25,23
C10105,Anna,  Sargsyan  ,customer105@example.com,YEREVAN,2023-03-15,53
C10106,Narek.,GRIGoRYaN,customer106@example.com,Vanadzor,2024-09-15,57
C10107,#eva,Hakobyan,customer107@example.com,"""""Gyumri""""",2024-10-12,22
C10108,  arsen  ,Mkrtchyan,customer108@example.com,#Yerevan,2023-06-25,30
C10109,ANNA,"""""Petrosyan""""",customer109@example.com,yer,2024-06-30,49
C10110,ANI,"martirosYaN,",customer110@example.com,YEREVAN,2025-01-16,33
C10111,NAREK,manuKYan,customer111@example.com,"gyumri,",2023-09-08,18
C10112,"""""Arsen""""",Karapetyan,customer112@example.com,"""""yvn""""",2023-06-17,30
C10113,"Lilit,",Sargsyan,customer113@example.com,VNZ,2024-04-18,28
C10114,"""David""",Martirosyan,customer114@example.com,Vagharshapat,2024-01-24,25
C10115,Eva,'Stepanyan',customer115@example.com,"YEREVAN,",2023-10-04,42
C10116,Eva,MANUKyAn,customer116@example.com,Dilijan,2025-08-05,57
C10117,Gor,"vardanyan,",customer117@example.com,Gyumri,2024-10-17,49
C10118,Tatev,Manukyan,customer118@example.com,VNZ,2024-12-05,41
C10119,Saro,VARDANYAN,customer119@example.com,Abovyan,2024-07-24,45
C10120,"Lilit,",Mkrtchyan,customer120@example.com,Abovyan,2023-08-13,31
C10121,Lusine,Mkrtchyan,customer121@example.com,  Gyumri  ,2024-12-02,62
C10122,Nare,Stepanyan,customer122@example.com,#yer,2023-11-29,20
C10123,Arman,Mkrtchyan,customer123@example.com,Yerevan,2025-05-13,53
C10124,narek,Ghazaryan,customer124@example.com,Yerevan,2025-02-25,44
C10125,'LiliT',Harutyunyan,customer125@example.com,Yerevan,2025-03-05,37
C10126,TATEV,HARUTYUNYAN,customer126@example.com,yerevan,2023-02-27,-5
C10127,Eva,  Manukyan  ,customer127@example.com,"""Yerevan""",2023-08-23,32
C10128,Mane,Mkrtchyan,customer128@example.com,Yerevan,2025-04-21,44
C10129,ARMAN,avetisyan,,"""Hrazdan""",2023-02-02,62
C10130,Tatev,"karapetyan,",customer130@example.com,kapan,2025-04-04,58
C10131,"""Lilit""",  MARTIROSYAN  ,customer131@example.com,Artashat,2023-11-20,45
C10132,Saro,Martirosyan,customer132@example.com,Gyumri,2024-02-15,42
C10133,MARIAM,Harutyunyan,customer133@example.com,ABovyaN,2023-10-02,59
C10134,Gor,MANUKYAN,customer134@example.com,kapan,2023-03-09,61
C10135,Tatev,stepanyan,customer135@example.com,#Yerevan,2023-08-05,63
C10136,Hayk,Sargsyan,customer136@example.com,Yerevan,2025-07-24,50
C10137,SUREN,#GRIGORYAN,customer137@example.com,aRtAshAT,2024-08-03,63
C10138,Suren,Grigoryan,customer138@example.com,Gyumri,2025-06-16,31
C10139,nARE,HARUTYUNYAN,customer139@example.com,gyumri,2025-01-05,25
C10140,mane,Sargsyan,customer140@example.com,  Yerevan  ,2023-11-19,65
C10141,LILIT,"""""ghazaryan""""",customer141@example.com,Yerevan,2023-08-06,31
C10142,ANI,Ghazaryan,customer142@example.com,'Kapan',2024-11-02,18
C10143,Ani,harutyunyan,customer143@example.com,Vanadzor,2024-05-26,-5
C10144,"""""Nare""""",  GRIGORYAN  ,customer144@example.com,"""YEREVAN""",2024-02-10,35
C10145,TATEV,Sargsyan,customer145@example.com,Yev.,2025-06-24,24
C10146,"""David""",Mkrtchyan.,customer146@example.com,Vanadzor,2025-07-25,32
C10147,Anna,Manukyan,customer147@example.com,Vanadzor,2024-10-20,41
C10148,Lilit,Stepanyan,customer148@example.com,YEREVAN,2024-04-14,30
C10149,HAYK,  martirosyan  ,customer149@example.com,"""""Kapan""""",2023-05-27,26
C10150,Sona,Avetisyan,customer150@example.com,yerevan,2023-09-29,32
C10151,david,Hakobyan,customer151@example.com,Yerevan.,2023-05-23,52
C10152,  Narek  ,VaRDanyAn,customer152@example.com,abovyan,2023-09-10,41
C10153,Ani,#Vardanyan,customer153@example.com,"""yev.""",2025-02-01,50
C10154,"Saro,",  manukyan  ,customer154@example.com,Etchmiadzin,2024-07-28,33
C10155,Gor,  Mkrtchyan  ,customer155@example.com,Hrazdan,2024-07-05,25
C10156,  suren  ,Hovhannisyan,customer156@example.com,  etchmiadzin  ,2023-09-27,46
C10157,Eva,Grigoryan,customer157@example.com,"""""yerevan city""""",2025-02-03,40
C10158,DAVID,Vardanyan,customer158@example.com,  Yerevan  ,2024-08-21,62
C10159,Nare,Mkrtchyan,customer159@example.com,Yer,2024-03-14,48
C10160,Lusine,Vardanyan,customer160@example.com,gyumri city,2025-07-08,57
C10161,LUSINE,Hovhannisyan,customer161@example.com,Hrazdan,2024-08-20,31
C10162,Nare,Harutyunyan,customer162@example.com,  Kapan  ,2024-02-13,47
C10163,SUREn,Sargsyan,customer163@example.com,"""""ABOVYAN""""",2024-01-06,56
C10164,lILiT,Martirosyan,customer164@example.com,ARTASHAT,2023-08-13,44
C10165,  Mariam  ,'kARAPETYaN',,Hrazdan,2023-05-22,64
C10166,aNnA,Harutyunyan,,Yerevan,2024-06-05,33
C10167,'Lusine',MAnUkyaN,customer167@example.com,yerevan,2024-05-20,23
C10168,Narek,HArUTYunyaN,customer168@example.com,Abovyan,2023-04-04,50
C10169,Lusine,"""""Manukyan""""",customer169@example.com,'Yerevan',2025-02-12,61
C10170,Lusine,Karapetyan,customer170@example.com,  YEREVAN  ,2023-02-18,35
C10171,lusine,  Petrosyan  ,customer171@example.com,Gyumri City,2025-05-31,33
C10172,'Mariam',Hovhannisyan,customer172@example.com,Etchmiadzin,2023-04-23,29
C10173,Mariam,Martirosyan,customer173@example.com,yeREVan,2023-06-06,-5
C10174,Narek,Avetisyan,customer174@example.com,Etchmiadzin,2024-10-04,62
C10175,ani,#AVETISYAN,customer175@example.com,Etchmiadzin,2023-06-13,57
C10176,ANI,Hovhannisyan.,customer176@example.com,gyumri,2025-03-22,46
C10177,Saro,Hakobyan,customer177@example.com,#Yerevan,2024-11-27,47
C10178,"""""Mariam""""",Vardanyan.,customer178@example.com,yERevan,2024-03-08,43
C10179,Suren,"""""Mkrtchyan""""",,abovyan,2024-09-02,39
C10180,Hayk,Petrosyan,customer180@example.com,hRAzDAn,2023-03-07,50
